PassengerId,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Title,Age_Bin,Fare_Bin,Num_Family
1,3,male,1,0,M,S, Mr,"(20, 30]","(0, 20]",2
2,1,female,1,0,C,C,Mrs,"(30, 40]","(20, 40]",2
3,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
4,1,female,1,0,C,S,Mrs,"(30, 40]","(20, 40]",2
5,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
6,3,male,0,0,M,Q, Mr,"(20, 30]","(0, 20]",1
7,1,male,0,0,E,S, Mr,"(50, 60]","(20, 40]",1
8,3,male,3,1,M,S,Nobility,"(0, 10]","(0, 20]",5
9,3,female,0,2,M,S,Mrs,"(20, 30]","(0, 20]",3
10,2,female,1,0,M,C,Mrs,"(10, 20]","(0, 20]",2
11,3,female,1,1,G,S,Ms,"(0, 10]","(0, 20]",3
12,1,female,0,0,C,S,Ms,"(50, 60]","(20, 40]",1
13,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
14,3,male,1,5,M,S, Mr,"(30, 40]","(0, 20]",7
15,3,female,0,0,M,S,Ms,"(10, 20]","(0, 20]",1
16,2,female,0,0,M,S,Mrs,"(50, 60]","(0, 20]",1
17,3,male,4,1,M,Q,Nobility,"(0, 10]","(0, 20]",6
18,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
19,3,female,1,0,M,S,Mrs,"(30, 40]","(0, 20]",2
20,3,female,0,0,M,C,Mrs,"(20, 30]","(0, 20]",1
21,2,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
22,2,male,0,0,D,S, Mr,"(30, 40]","(0, 20]",1
23,3,female,0,0,M,Q,Ms,"(10, 20]","(0, 20]",1
24,1,male,0,0,A,S, Mr,"(20, 30]","(20, 40]",1
25,3,female,3,1,M,S,Ms,"(0, 10]","(0, 20]",5
26,3,female,1,5,M,S,Mrs,"(30, 40]","(0, 20]",7
27,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
28,1,male,3,2,C,S, Mr,"(10, 20]","(40, 60]",6
29,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
30,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
31,1,male,0,0,M,C,Nobility,"(30, 40]","(20, 40]",1
32,1,female,1,0,B,C,Mrs,"(30, 40]","(40, 60]",2
33,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
34,2,male,0,0,M,S, Mr,"(60, 70]","(0, 20]",1
35,1,male,1,0,M,C, Mr,"(20, 30]","(40, 60]",2
36,1,male,1,0,M,S, Mr,"(40, 50]","(20, 40]",2
37,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
38,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
39,3,female,2,0,M,S,Ms,"(10, 20]","(0, 20]",3
40,3,female,1,0,M,C,Ms,"(10, 20]","(0, 20]",2
41,3,female,1,0,M,S,Mrs,"(30, 40]","(0, 20]",2
42,2,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
43,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
44,2,female,1,2,M,C,Ms,"(0, 10]","(0, 20]",4
45,3,female,0,0,M,Q,Ms,"(10, 20]","(0, 20]",1
46,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
47,3,male,1,0,M,Q, Mr,"(20, 30]","(0, 20]",2
48,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
49,3,male,2,0,M,C, Mr,"(20, 30]","(0, 20]",3
50,3,female,1,0,M,S,Mrs,"(10, 20]","(0, 20]",2
51,3,male,4,1,M,S,Nobility,"(0, 10]","(0, 20]",6
